"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","spalpha.light","spalpha.l","spalpha.o","spalpha.r"
"1",8,"a",1.06559257869891,0.32458553255401,0.147419678614676,-0.962870033917813,-1.3323834695194,-1.56100093938423,1.65924508384974,-1.41136291585664,-1.4016868036555,-1.53657930813935,1.20231031599861,0.90389194179829,0.622736366218946,-0.172664986939422,-0.41115084646863,0.970811269751391,0.978626719461435
"2",8,"b",2.82613683915797,0.0498308335422072,1.05816782207195,-1.18625379289423,-1.02371938966623,-1.97412133372753,2.24050415737691,-1.21343808154501,-1.50333584666869,-1.49361298141368,2.33487481590277,2.4158729224998,0.300088387613267,-1.92618081591952,0.386528307682667,0.909894540361888,0.978626719461435
"3",8,"c",0.278966419770389,-0.803635214855761,-0.181368879998563,-1.07145213842296,-1.02371938966623,-1.56100093938423,1.87339316357027,-1.63262405596648,-1.45251132516209,-1.45291289120046,0.31666318046756,0.781166485409907,-0.558895774270848,-4.80642565503321,1.5955598365502,0.805756703638331,0.978626719461435
"4",8,"d",2.82613683915797,0.0498308335422072,0.506624479420966,-0.859594350729835,-0.280017723215617,-1.56100093938423,0.756763890741753,-0.581358679997656,-1.24921323913572,-0.892199646050199,2.33487481590277,2.27749106809162,0.437388939587317,-0.568167600902871,1.85238740994122,0.970811269751391,0.978626719461435
"41",9,"a",0.503716750892823,0.32458553255401,1.69157852985813,2.10413623793773,1.33375911642988,0.978605735597202,0.313171439892066,0.267717277628638,1.27507132902504,0.929974365659408,0.551161932345277,1.36495674221879,-0.94782209877915,0.688211051444976,0.0129170185274749,0.701618866914775,0.978626719461435
"42",9,"b",-0.282909408035695,0.32458553255401,1.42000901496305,1.7924253590042,1.20738560968561,0.816544350337023,0.114319651580137,0.267717277628638,1.19036379318072,0.896982001639967,-0.185966033987159,0.694835065934465,-1.29353893494767,0.688211051444976,-0.41115084646863,0.563956134809114,0.978626719461435
"43",9,"c",0.503716750892823,0.903296881940175,1.26103979149659,1.7924253590042,1.27243187047599,0.89822854463126,0.190801108623187,0.18032717395248,1.08871475016754,0.935019936158481,0.551161932345277,1.69831772979386,-1.33367001040885,-3.06114692572708,-0.41115084646863,-1.26987372967831,0.978626719461435
"44",9,"d",0.241508031249984,0.32458553255401,0.37384776680685,1.88348401941741,1.20738560968561,0.816544350337023,0.114319651580137,-0.216627198295007,1.29201283619391,0.894429863622603,0.31666318046756,1.18779689031928,-1.09815695575569,0.645734506206772,-1.56972579949525,0.701618866914775,0.978626719461435
"25",10,"a",-1.18191073252543,1.17805158095198,-1.6198328370445,-0.162195085133171,0.240900462414112,0.110335523488624,-0.665791210258967,-0.330513488176051,0.0213997985290914,0.331031829396446,-1.22019421079486,-0.994055993768335,-0.696409229410003,0.00146154020955892,-0.41115084646863,0.563956134809114,0.978626719461435
"26",10,"b",-0.844785235841779,1.17805158095198,-1.21511067101734,0.0596271518492715,0.320413477735729,-0.0828985790158859,-0.604606044624528,-0.109252348066211,0.190814870217733,0.364986530474938,2.02323672955411,-0.62870605355972,4.03342133477383,-0.435753035295631,0.386528307682667,0.459818298085557,0.978626719461435
"27",10,"c",-1.14445234400502,1.04832210144516,-1.50140231708025,-0.0125300457658793,0.320413477735729,0.0146475396159198,-0.619902336033137,-0.330513488176051,0.123048841542277,0.374171127637043,-1.22019421079486,-0.751674728294538,-1.17527983137431,-0.216353660956518,-0.41115084646863,-1.26987372967831,0.978626719461435
"28",10,"d",-0.994618789923402,1.29540617000763,-1.27131306812025,-0.239985004800701,0.0616623371850436,-0.283864067831345,-0.757568958710626,-0.00768445287515373,0.0552828128668199,0.210154423873301,-0.976540463456965,-0.751674728294538,-0.627119482597095,-1.64944315637545,-0.914173679877862,0.563956134809114,0.978626719461435
"61",11,"a",-0.844785235841779,0.549076467493686,-0.278064308023324,0.199179868107952,0.648068048141949,0.204234841768655,-0.405754256312599,0.0886724862454248,0.072224320035684,0.568714376843076,-0.821853496302309,-0.119426270051634,-1.33367001040885,-0.085476631694288,1.32402125776225,0.805756703638331,-1.60766097308552
"62",11,"b",-1.06953556696421,0.549076467493686,-0.3760755015736,-0.162195085133171,0.528730204025381,0.475839757872864,-0.696383793076187,0.431172365774085,0.0552828128668199,0.731957741950536,-1.13730046718004,-1.07320329287993,-0.392791952232116,0.0448374777869345,1.18187724200497,0.970811269751391,0.978626719461435
"63",11,"c",-0.657493293239751,0.0498308335422072,-0.730310562327745,0.586091888240826,0.805364003635658,0.563206608049056,-0.436346839129819,-0.109252348066211,0.563528027932745,0.819499841001976,-0.599838738047307,-0.152679228352968,-0.838323854637906,-0.303921374285787,1.03491069321261,0.805756703638331,-0.155465647511133
"64",11,"d",-1.33174428660705,0.0498308335422072,-0.425591616065352,0.266774015349265,0.528730204025381,0.733509943089099,-0.834050415753676,0.652433505883925,0.936241185647757,0.940057567114081,-1.48032865128938,-1.11328291927631,-1.09815695575569,-1.05880272957721,0.0129170185274749,0.909894540361888,0.978626719461435
"45",12,"a",-0.0581590769132611,0.549076467493686,0.00827783084236141,-0.487327565571779,-1.02371938966623,-0.824543185999362,1.16976375877422,-1.21343808154501,-1.1645057032914,-1.36805454786131,0.00834812508541167,0.337289471494919,-0.458488762334234,0.217726396129755,0.204923788942192,0.459818298085557,-2.49165373754844
"46",12,"b",-0.0956174654336669,0.0498308335422072,1.45930969337942,-0.239985004800701,-0.588681803068789,-0.387444382100362,-0.925828164205335,1.73328293356452,0.360229941906375,-0.281899033022063,-0.0555872557340674,0.43867817833595,-0.696409229410003,0.688211051444976,0.724298731718152,0.805756703638331,0.978626719461435
"47",12,"c",-0.732410070280563,-0.803635214855761,0.892332245699868,0.0596271518492715,-0.588681803068789,-0.601241211899706,-0.711680084484797,1.08548336949543,0.377171449075239,-0.465230450378637,-0.672599255049481,-0.276333000324795,-0.802417151786219,1.0679185624278,0.724298731718152,0.805756703638331,0.978626719461435
